system,sessions,trial,outcome,p_val
Null,1,9,0.16666666666666666,4.468692730711495e-10
XSqrA_M,1,10,0.3793103448275862,1.946691725704122e-08
BM25,1,10,0.43333333333333335,4.436908867658739e-08
Baseline,1,10,0.3181818181818182,2.776745485690607e-09
Tf,1,10,0.34782608695652173,4.365758677661431e-09
Dl,1,10,0.3181818181818182,2.776745485690607e-09
Null,1,10,0.16666666666666666,4.468692730711495e-10
XSqrA_M,2,1,0.4666666666666667,6.59770916685909e-08
BM25,2,1,0.3793103448275862,1.946691725704122e-08
Baseline,2,1,0.5,1.9618908626670655e-08
Tf,2,1,0.36,7.42013737951246e-09
Dl,2,1,0.2916666666666667,3.2842612756637644e-09
Null,2,1,0.14285714285714285,6.009114937525999e-10
XSqrA_M,2,2,0.46875,1.0311496509692029e-07
BM25,2,2,0.4838709677419355,1.0124680430655791e-07
Baseline,2,2,0.5769230769230769,6.956065021654159e-08
Tf,2,2,0.48148148148148145,3.7907121494267454e-08
Dl,2,2,0.2692307692307692,3.648716776631632e-09
Null,2,2,0.13636363636363635,6.439936785486237e-10
XSqrA_M,2,3,0.375,2.9696170215456473e-08
BM25,2,3,0.40625,4.5143184760462866e-08
Baseline,2,3,0.48148148148148145,3.7907121494267454e-08
Tf,2,3,0.2962962962962963,5.593595072527053e-09
Dl,2,3,0.3333333333333333,8.286829262740985e-09
Null,2,3,0.043478260869565216,3.128409180002066e-10
XSqrA_M,2,4,0.5483870967741935,2.2250628451956976e-07
BM25,2,4,0.4838709677419355,1.0124680430655791e-07
Baseline,2,4,0.32,5.101286502441747e-09
Tf,2,4,0.28,3.4883353690475832e-09
Dl,2,4,0.36,7.42013737951246e-09
Null,2,4,0.047619047619047616,2.853012831142622e-10
XSqrA_M,2,5,0.5882352941176471,8.120242366234249e-07
BM25,2,5,0.35294117647058826,2.775415674500597e-08
Baseline,2,5,0.7037037037037037,2.9561498122002533e-07
Tf,2,5,0.21428571428571427,2.5346380807004123e-09
Dl,2,5,0.3333333333333333,8.286829262740985e-09
Null,2,5,0.13043478260869565,6.804371049986855e-10
XSqrA_M,2,6,0.45714285714285713,1.505126770804761e-07
BM25,2,6,0.4,6.309200716479933e-08
Baseline,2,6,0.5172413793103449,9.233882933564265e-08
Tf,2,6,0.3333333333333333,1.3134126865324567e-08
Dl,2,6,0.27586206896551724,5.766816621527151e-09
Null,2,6,0.19230769230769232,1.654290394623698e-09
XSqrA_M,2,7,0.3611111111111111,3.7907121494267454e-08
BM25,2,7,0.3611111111111111,3.7907121494267454e-08
Baseline,2,7,0.5161290322580645,1.505126770804761e-07
Tf,2,7,0.27586206896551724,5.766816621527151e-09
Dl,2,7,0.3225806451612903,1.302954461658365e-08
Null,2,7,0.07692307692307693,4.909792398859089e-10
XSqrA_M,2,8,0.4722222222222222,2.2250628451956976e-07
BM25,2,8,0.38235294117647056,4.285556532967624e-08
Baseline,2,8,0.5806451612903226,3.269099675270684e-07
Tf,2,8,0.23333333333333334,3.75924937220847e-09
Dl,2,8,0.3870967741935484,2.994709387884242e-08
Null,2,8,0.1111111111111111,7.385831052856595e-10
XSqrA_M,2,9,0.47368421052631576,3.0445868227528094e-07
BM25,2,9,0.4166666666666667,9.233882933564265e-08
Baseline,2,9,0.4827586206896552,6.309200716479933e-08
Tf,2,9,0.34375,1.946691725704122e-08
Dl,2,9,0.3103448275862069,8.684881644248693e-09
Null,2,9,0.1111111111111111,7.385831052856595e-10
XSqrA_M,2,10,0.6111111111111112,1.8859966664158085e-06
BM25,2,10,0.47058823529411764,1.548294037234629e-07
Baseline,2,10,0.3793103448275862,1.946691725704122e-08
Tf,2,10,0.2903225806451613,8.550359063708611e-09
Dl,2,10,0.2857142857142857,5.7230711593412495e-09
Null,2,10,0.1111111111111111,7.385831052856595e-10
XSqrA_M,3,1,0.5,3.4379942026966634e-07
BM25,3,1,0.47058823529411764,1.548294037234629e-07
Baseline,3,1,0.4827586206896552,6.309200716479933e-08
Tf,3,1,0.43333333333333335,4.436908867658739e-08
Dl,3,1,0.21428571428571427,2.5346380807004123e-09
Null,3,1,0.08,4.877180274922811e-10
XSqrA_M,3,2,0.5526315789473685,1.160692081560213e-06
BM25,3,2,0.5555555555555556,8.120242366234249e-07
Baseline,3,2,0.59375,5.0786862568921e-07
Tf,3,2,0.3939393939393939,4.436908867658739e-08
Dl,3,2,0.25806451612903225,5.593595072527053e-09
Null,3,2,0.1111111111111111,7.385831052856595e-10
XSqrA_M,3,3,0.5405405405405406,7.864079560324576e-07
BM25,3,3,0.4722222222222222,2.2250628451956976e-07
Baseline,3,3,0.41379310344827586,2.8954408916601567e-08
Tf,3,3,0.3870967741935484,2.994709387884242e-08
Dl,3,3,0.39285714285714285,1.8836521097423067e-08
Null,3,3,0.038461538461538464,3.253610008356095e-10
XSqrA_M,3,4,0.4722222222222222,2.2250628451956976e-07
BM25,3,4,0.37142857142857144,4.066976827077233e-08
Baseline,3,4,0.41935483870967744,4.5143184760462866e-08
Tf,3,4,0.25,5.383567311752743e-09
Dl,3,4,0.36666666666666664,1.978900978358315e-08
Null,3,4,0.14814814814814814,1.1150714799123808e-09
XSqrA_M,3,5,0.6,1.2403947708498856e-06
BM25,3,5,0.5142857142857142,3.542863872088796e-07
Baseline,3,5,0.5806451612903226,3.269099675270684e-07
Tf,3,5,0.36666666666666664,1.978900978358315e-08
Dl,3,5,0.36666666666666664,1.978900978358315e-08
Null,3,5,0.15384615384615385,1.1073445081201173e-09
XSqrA_M,3,6,0.4722222222222222,2.2250628451956976e-07
BM25,3,6,0.4,6.309200716479933e-08
Baseline,3,6,0.375,2.9696170215456473e-08
Tf,3,6,0.3870967741935484,2.994709387884242e-08
Dl,3,6,0.3,8.684881644248693e-09
Null,3,6,0.08,4.877180274922811e-10
XSqrA_M,3,7,0.4722222222222222,2.2250628451956976e-07
BM25,3,7,0.4444444444444444,1.4354851599081758e-07
Baseline,3,7,0.5151515151515151,2.358711990971524e-07
Tf,3,7,0.3870967741935484,2.994709387884242e-08
Dl,3,7,0.25,5.383567311752743e-09
Null,3,7,0.11538461538461539,7.385831052856595e-10
XSqrA_M,3,8,0.4722222222222222,2.2250628451956976e-07
BM25,3,8,0.43243243243243246,1.3426642477289038e-07
Baseline,3,8,0.625,7.452313226525144e-07
Tf,3,8,0.3333333333333333,1.8836521097423067e-08
Dl,3,8,0.40625,4.5143184760462866e-08
Null,3,8,0.07142857142857142,4.780510750393829e-10
XSqrA_M,3,9,0.5833333333333334,1.2403947708498856e-06
BM25,3,9,0.4857142857142857,2.3134174841539747e-07
Baseline,3,9,0.4411764705882353,1.0124680430655791e-07
Tf,3,9,0.45454545454545453,1.0311496509692029e-07
Dl,3,9,0.24242424242424243,5.101286502441747e-09
Null,3,9,0.19230769230769232,1.654290394623698e-09
XSqrA_M,3,10,0.5833333333333334,1.2403947708498856e-06
BM25,3,10,0.5555555555555556,8.120242366234249e-07
Baseline,3,10,0.53125,2.3134174841539747e-07
Tf,3,10,0.42424242424242425,6.776261920642351e-08
Dl,3,10,0.2903225806451613,8.550359063708611e-09
Null,3,10,0.07692307692307693,4.909792398859089e-10
XSqrA_M,4,1,0.5,3.4379942026966634e-07
BM25,4,1,0.42857142857142855,9.759819326488025e-08
Baseline,4,1,0.6176470588235294,1.2133321865858736e-06
Tf,4,1,0.3333333333333333,1.8836521097423067e-08
Dl,4,1,0.25,5.383567311752743e-09
Null,4,1,0.17857142857142858,1.6779890640832132e-09
XSqrA_M,4,2,0.5526315789473685,1.160692081560213e-06
BM25,4,2,0.4473684210526316,1.9382357452053607e-07
Baseline,4,2,0.38235294117647056,4.285556532967624e-08
Tf,4,2,0.4857142857142857,2.3134174841539747e-07
Dl,4,2,0.3870967741935484,2.994709387884242e-08
Null,4,2,0.13793103448275862,1.0844506755288099e-09
XSqrA_M,4,3,0.5714285714285714,8.207180322992627e-07
BM25,4,3,0.4857142857142857,2.3134174841539747e-07
Baseline,4,3,0.3870967741935484,2.994709387884242e-08
Tf,4,3,0.42424242424242425,6.776261920642351e-08
Dl,4,3,0.2413793103448276,3.815624400958113e-09
Null,4,3,0.0,2.0421984902680288e-10
XSqrA_M,4,4,0.5277777777777778,5.293732292609404e-07
BM25,4,4,0.47058823529411764,1.548294037234629e-07
Baseline,4,4,0.4,2.9696170215456473e-08
Tf,4,4,0.4375,6.836705273922939e-08
Dl,4,4,0.21428571428571427,2.5346380807004123e-09
Null,4,4,0.11538461538461539,7.385831052856595e-10
XSqrA_M,4,5,0.4166666666666667,9.233882933564265e-08
BM25,4,5,0.3611111111111111,3.7907121494267454e-08
Baseline,4,5,0.59375,5.0786862568921e-07
Tf,4,5,0.37142857142857144,4.066976827077233e-08
Dl,4,5,0.26666666666666666,5.7230711593412495e-09
Null,4,5,0.03571428571428571,3.128409180002066e-10
XSqrA_M,4,6,0.4117647058823529,6.59770916685909e-08
BM25,4,6,0.38235294117647056,4.285556532967624e-08
Baseline,4,6,0.6666666666666666,6.254906378427351e-07
Tf,4,6,0.40625,4.5143184760462866e-08
Dl,4,6,0.3103448275862069,8.684881644248693e-09
Null,4,6,0.04,3.253610008356095e-10
XSqrA_M,4,7,0.5428571428571428,5.404123173487601e-07
BM25,4,7,0.42857142857142855,9.759819326488025e-08
Baseline,4,7,0.36363636363636365,2.8954408916601567e-08
Tf,4,7,0.40625,4.5143184760462866e-08
Dl,4,7,0.22580645161290322,3.648716776631632e-09
Null,4,7,0.07692307692307693,4.909792398859089e-10
XSqrA_M,4,8,0.6060606060606061,7.864079560324576e-07
BM25,4,8,0.5151515151515151,2.358711990971524e-07
Baseline,4,8,0.6296296296296297,1.551724365260154e-07
Tf,4,8,0.42857142857142855,2.775415674500597e-08
Dl,4,8,0.32,5.101286502441747e-09
Null,4,8,0.09090909090909091,4.410848176042343e-10
XSqrA_M,4,9,0.5675675675675675,1.2133321865858736e-06
BM25,4,9,0.4722222222222222,2.2250628451956976e-07
Baseline,4,9,0.3939393939393939,4.436908867658739e-08
Tf,4,9,0.42424242424242425,6.776261920642351e-08
Dl,4,9,0.1935483870967742,2.3736322385701284e-09
Null,4,9,0.21428571428571427,2.5346380807004123e-09
XSqrA_M,4,10,0.5526315789473685,1.160692081560213e-06
BM25,4,10,0.5405405405405406,7.864079560324576e-07
Baseline,4,10,0.6363636363636364,1.160692081560213e-06
Tf,4,10,0.45714285714285713,1.505126770804761e-07
Dl,4,10,0.22580645161290322,3.648716776631632e-09
Null,4,10,0.1724137931034483,1.654290394623698e-09
XSqrA_M,5,1,0.5789473684210527,1.8016456589966358e-06
BM25,5,1,0.5263157894736842,7.452313226525144e-07
Baseline,5,1,0.42424242424242425,6.776261920642351e-08
Tf,5,1,0.375,2.9696170215456473e-08
Dl,5,1,0.2,2.461915477042776e-09
Null,5,1,0.0,2.1088359135418365e-10
XSqrA_M,5,2,0.4594594594594595,2.097965725856119e-07
BM25,5,2,0.4166666666666667,9.233882933564265e-08
Baseline,5,2,0.4375,6.836705273922939e-08
Tf,5,2,0.34285714285714286,2.614709827080917e-08
Dl,5,2,0.2,2.461915477042776e-09
Null,5,2,0.1111111111111111,7.385831052856595e-10
XSqrA_M,5,3,0.5945945945945946,1.8646063481805932e-06
BM25,5,3,0.5135135135135135,5.0786862568921e-07
Baseline,5,3,0.45714285714285713,1.505126770804761e-07
Tf,5,3,0.4411764705882353,1.0124680430655791e-07
Dl,5,3,0.30303030303030304,1.221896624505799e-08
Null,5,3,0.07142857142857142,4.780510750393829e-10
XSqrA_M,5,4,0.4594594594594595,2.097965725856119e-07
BM25,5,4,0.4166666666666667,9.233882933564265e-08
Baseline,5,4,0.5151515151515151,2.358711990971524e-07
Tf,5,4,0.2727272727272727,7.90499854183387e-09
Dl,5,4,0.1935483870967742,2.3736322385701284e-09
Null,5,4,0.06896551724137931,4.623222983519998e-10
XSqrA_M,5,5,0.5,3.4379942026966634e-07
BM25,5,5,0.45714285714285713,1.505126770804761e-07
Baseline,5,5,0.3939393939393939,4.436908867658739e-08
Tf,5,5,0.4117647058823529,6.59770916685909e-08
Dl,5,5,0.25806451612903225,5.593595072527053e-09
Null,5,5,0.038461538461538464,3.253610008356095e-10
XSqrA_M,5,6,0.5405405405405406,7.864079560324576e-07
BM25,5,6,0.5428571428571428,5.404123173487601e-07
Baseline,5,6,0.6774193548387096,9.912976281904871e-07
Tf,5,6,0.5,1.548294037234629e-07
Dl,5,6,0.3448275862068966,1.302954461658365e-08
Null,5,6,0.043478260869565216,3.128409180002066e-10
XSqrA_M,5,7,0.46153846153846156,2.775404824127456e-07
BM25,5,7,0.4473684210526316,1.9382357452053607e-07
Baseline,5,7,0.5714285714285714,8.207180322992627e-07
Tf,5,7,0.38235294117647056,4.285556532967624e-08
Dl,5,7,0.21875,3.4883353690475832e-09
Null,5,7,0.03571428571428571,3.128409180002066e-10
XSqrA_M,5,8,0.5135135135135135,5.0786862568921e-07
BM25,5,8,0.42857142857142855,9.759819326488025e-08
Baseline,5,8,0.48484848484848486,1.5629181969443135e-07
Tf,5,8,0.45161290322580644,6.776261920642351e-08
Dl,5,8,0.25806451612903225,5.593595072527053e-09
Null,5,8,0.07407407407407407,4.877180274922811e-10
XSqrA_M,5,9,0.55,1.5672479061516015e-06
BM25,5,9,0.4358974358974359,1.7533641151668463e-07
Baseline,5,9,0.4444444444444444,1.4354851599081758e-07
Tf,5,9,0.37142857142857144,4.066976827077233e-08
Dl,5,9,0.4,6.309200716479933e-08
Null,5,9,0.03571428571428571,3.128409180002066e-10
XSqrA_M,5,10,0.5405405405405406,7.864079560324576e-07
BM25,5,10,0.47368421052631576,3.0445868227528094e-07
Baseline,5,10,0.5588235294117647,5.404123173487601e-07
Tf,5,10,0.4411764705882353,1.0124680430655791e-07
Dl,5,10,0.28125,8.286829262740985e-09
Null,5,10,0.14814814814814814,1.1150714799123808e-09
XSqrA_M,6,1,0.6153846153846154,4.13474837485832e-06
BM25,6,1,0.5263157894736842,7.452313226525144e-07
Baseline,6,1,0.3888888888888889,5.9237446617839205e-08
Tf,6,1,0.4857142857142857,2.3134174841539747e-07
Dl,6,1,0.22857142857142856,4.365758677661431e-09
Null,6,1,0.03571428571428571,3.128409180002066e-10
XSqrA_M,6,2,0.6285714285714286,1.8646063481805932e-06
BM25,6,2,0.5294117647058824,3.578421676841637e-07
Baseline,6,2,0.6,1.2403947708498856e-06
Tf,6,2,0.47058823529411764,1.548294037234629e-07
Dl,6,2,0.15625,1.454096494854351e-09
Null,6,2,0.038461538461538464,3.253610008356095e-10
XSqrA_M,6,3,0.6111111111111112,1.8859966664158085e-06
BM25,6,3,0.4722222222222222,2.2250628451956976e-07
Baseline,6,3,0.5833333333333334,1.2403947708498856e-06
Tf,6,3,0.47058823529411764,1.548294037234629e-07
Dl,6,3,0.18181818181818182,2.1097871806306676e-09
Null,6,3,0.1111111111111111,7.385831052856595e-10
XSqrA_M,6,4,0.5277777777777778,5.293732292609404e-07
BM25,6,4,0.5,3.4379942026966634e-07
Baseline,6,4,0.4864864864864865,3.269099675270684e-07
Tf,6,4,0.42857142857142855,9.759819326488025e-08
Dl,6,4,0.23529411764705882,4.75769508977915e-09
Null,6,4,0.10714285714285714,7.285924926455006e-10
XSqrA_M,6,5,0.5,3.4379942026966634e-07
BM25,6,5,0.4444444444444444,1.4354851599081758e-07
Baseline,6,5,0.4722222222222222,2.2250628451956976e-07
Tf,6,5,0.45714285714285713,1.505126770804761e-07
Dl,6,5,0.23529411764705882,4.75769508977915e-09
Null,6,5,0.10344827586206896,7.089746808130333e-10
XSqrA_M,6,6,0.5263157894736842,7.452313226525144e-07
BM25,6,6,0.4594594594594595,2.097965725856119e-07
Baseline,6,6,0.6666666666666666,4.290594042032317e-06
Tf,6,6,0.4,6.309200716479933e-08
Dl,6,6,0.17647058823529413,1.9439120959338022e-09
Null,6,6,0.1,6.804371049986855e-10
XSqrA_M,6,7,0.5675675675675675,1.2133321865858736e-06
BM25,6,7,0.4594594594594595,2.097965725856119e-07
Baseline,6,7,0.6111111111111112,1.8859966664158085e-06
Tf,6,7,0.38235294117647056,4.285556532967624e-08
Dl,6,7,0.2,2.776745485690607e-09
Null,6,7,0.12903225806451613,9.970579343458065e-10
XSqrA_M,6,8,0.525,9.912976281904871e-07
BM25,6,8,0.34210526315789475,3.11373378987541e-08
Baseline,6,8,0.42105263157894735,1.2309675748818656e-07
Tf,6,8,0.2857142857142857,1.0730068383024647e-08
Dl,6,8,0.3055555555555556,1.541725790028002e-08
Null,6,8,0.0967741935483871,6.439936785486237e-10
XSqrA_M,6,9,0.5641025641025641,1.7006559824564433e-06
BM25,6,9,0.4722222222222222,2.2250628451956976e-07
Baseline,6,9,0.5428571428571428,5.404123173487601e-07
Tf,6,9,0.38235294117647056,4.285556532967624e-08
Dl,6,9,0.2647058823529412,7.42013737951246e-09
Null,6,9,0.0,2.0421984902680288e-10
XSqrA_M,6,10,0.5641025641025641,1.7006559824564433e-06
BM25,6,10,0.40540540540540543,8.570935797908245e-08
Baseline,6,10,0.6052631578947368,2.7860929475222422e-06
Tf,6,10,0.3888888888888889,5.9237446617839205e-08
Dl,6,10,0.2972972972972973,1.3922380032526607e-08
Null,6,10,0.06666666666666667,4.410848176042343e-10
XSqrA_M,7,1,0.5897435897435898,2.6563968243191802e-06
BM25,7,1,0.5263157894736842,7.452313226525144e-07
Baseline,7,1,0.5405405405405406,7.864079560324576e-07
Tf,7,1,0.4722222222222222,2.2250628451956976e-07
Dl,7,1,0.2777777777777778,9.801671994856371e-09
Null,7,1,0.1,6.804371049986855e-10
XSqrA_M,7,2,0.5135135135135135,5.0786862568921e-07
BM25,7,2,0.47368421052631576,3.0445868227528094e-07
Baseline,7,2,0.5555555555555556,8.120242366234249e-07
Tf,7,2,0.35294117647058826,2.775415674500597e-08
Dl,7,2,0.3235294117647059,1.792455998726238e-08
Null,7,2,0.0,1.841556157934649e-10
XSqrA_M,7,3,0.6190476190476191,8.073767420438102e-06
BM25,7,3,0.525,9.912976281904871e-07
Baseline,7,3,0.425,1.551724365260154e-07
Tf,7,3,0.2631578947368421,7.750852070368751e-09
Dl,7,3,0.23076923076923078,4.1786416716631105e-09
Null,7,3,0.09375,6.009114937525999e-10
XSqrA_M,7,4,0.5384615384615384,1.0853367277544388e-06
BM25,7,4,0.4594594594594595,2.097965725856119e-07
Baseline,7,4,0.4444444444444444,1.4354851599081758e-07
Tf,7,4,0.4473684210526316,1.9382357452053607e-07
Dl,7,4,0.22857142857142856,4.365758677661431e-09
Null,7,4,0.1,6.804371049986855e-10
XSqrA_M,7,5,0.46153846153846156,2.775404824127456e-07
BM25,7,5,0.39473684210526316,7.800581131348412e-08
Baseline,7,5,0.5945945945945946,1.8646063481805932e-06
Tf,7,5,0.4444444444444444,1.4354851599081758e-07
Dl,7,5,0.2,2.776745485690607e-09
Null,7,5,0.06896551724137931,4.623222983519998e-10
XSqrA_M,7,6,0.5135135135135135,5.0786862568921e-07
BM25,7,6,0.4444444444444444,1.4354851599081758e-07
Baseline,7,6,0.2222222222222222,3.939742379538397e-09
Tf,7,6,0.3611111111111111,3.7907121494267454e-08
Dl,7,6,0.08571428571428572,4.468692730711495e-10
Null,7,6,0.07142857142857142,4.780510750393829e-10
XSqrA_M,7,7,0.5641025641025641,1.7006559824564433e-06
BM25,7,7,0.4473684210526316,1.9382357452053607e-07
Baseline,7,7,0.35135135135135137,3.4685372876799844e-08
Tf,7,7,0.38461538461538464,6.956065021654159e-08
Dl,7,7,0.17142857142857143,1.7629654359763814e-09
Null,7,7,0.034482758620689655,3.0075726782624973e-10
XSqrA_M,7,8,0.6285714285714286,1.8646063481805932e-06
BM25,7,8,0.5142857142857142,3.542863872088796e-07
Baseline,7,8,0.47058823529411764,1.548294037234629e-07
Tf,7,8,0.5454545454545454,3.542863872088796e-07
Dl,7,8,0.2727272727272727,7.90499854183387e-09
Null,7,8,0.038461538461538464,3.253610008356095e-10
XSqrA_M,7,9,0.6052631578947368,2.7860929475222422e-06
BM25,7,9,0.5135135135135135,5.0786862568921e-07
Baseline,7,9,0.6486486486486487,4.343603190560794e-06
Tf,7,9,0.4166666666666667,9.233882933564265e-08
Dl,7,9,0.3611111111111111,3.7907121494267454e-08
Null,7,9,0.03333333333333333,2.853012831142622e-10
XSqrA_M,7,10,0.5833333333333334,1.2403947708498856e-06
BM25,7,10,0.5142857142857142,3.542863872088796e-07
Baseline,7,10,0.4166666666666667,9.233882933564265e-08
Tf,7,10,0.42424242424242425,6.776261920642351e-08
Dl,7,10,0.3142857142857143,1.676910235542639e-08
Null,7,10,0.14285714285714285,1.1073445081201173e-09
XSqrA_M,8,1,0.5833333333333334,1.2403947708498856e-06
BM25,8,1,0.5428571428571428,5.404123173487601e-07
Baseline,8,1,0.5714285714285714,8.207180322992627e-07
Tf,8,1,0.3939393939393939,4.436908867658739e-08
Dl,8,1,0.18181818181818182,2.1097871806306676e-09
Null,8,1,0.08333333333333333,4.780510750393829e-10
XSqrA_M,8,2,0.5945945945945946,1.8646063481805932e-06
BM25,8,2,0.5405405405405406,7.864079560324576e-07
Baseline,8,2,0.7058823529411765,3.88536849688825e-06
Tf,8,2,0.5555555555555556,8.120242366234249e-07
Dl,8,2,0.21212121212121213,3.2842612756637644e-09
Null,8,2,0.10714285714285714,7.285924926455006e-10
XSqrA_M,8,3,0.6944444444444444,6.410847522692116e-06
BM25,8,3,0.5428571428571428,5.404123173487601e-07
Baseline,8,3,0.5428571428571428,5.404123173487601e-07
Tf,8,3,0.5714285714285714,8.207180322992627e-07
Dl,8,3,0.23529411764705882,4.75769508977915e-09
Null,8,3,0.07692307692307693,4.909792398859089e-10
XSqrA_M,8,4,0.6944444444444444,6.410847522692116e-06
BM25,8,4,0.5428571428571428,5.404123173487601e-07
Baseline,8,4,0.5142857142857142,3.542863872088796e-07
Tf,8,4,0.4411764705882353,1.0124680430655791e-07
Dl,8,4,0.09375,6.009114937525999e-10
Null,8,4,0.11538461538461539,7.385831052856595e-10
XSqrA_M,8,5,0.5641025641025641,1.7006559824564433e-06
BM25,8,5,0.47368421052631576,3.0445868227528094e-07
Baseline,8,5,0.48717948717948717,4.383465216783932e-07
Tf,8,5,0.43243243243243246,1.3426642477289038e-07
Dl,8,5,0.24324324324324326,5.548603004421694e-09
Null,8,5,0.03333333333333333,2.853012831142622e-10
XSqrA_M,8,6,0.6410256410256411,6.410847522692116e-06
BM25,8,6,0.5675675675675675,1.2133321865858736e-06
Baseline,8,6,0.6216216216216216,2.8528821891255713e-06
Tf,8,6,0.5,3.4379942026966634e-07
Dl,8,6,0.34285714285714286,2.614709827080917e-08
Null,8,6,0.10344827586206896,7.089746808130333e-10
XSqrA_M,8,7,0.6410256410256411,6.410847522692116e-06
BM25,8,7,0.5135135135135135,5.0786862568921e-07
Baseline,8,7,0.5555555555555556,8.120242366234249e-07
Tf,8,7,0.45714285714285713,1.505126770804761e-07
Dl,8,7,0.2647058823529412,7.42013737951246e-09
Null,8,7,0.10714285714285714,7.285924926455006e-10
XSqrA_M,8,8,0.6666666666666666,2.0352649770204853e-05
BM25,8,8,0.5384615384615384,1.0853367277544388e-06
Baseline,8,8,0.325,2.362051554549779e-08
Tf,8,8,0.4358974358974359,1.7533641151668463e-07
Dl,8,8,0.2564102564102564,6.70002765408486e-09
Null,8,8,0.12903225806451613,9.970579343458065e-10
XSqrA_M,8,9,0.48717948717948717,4.383465216783932e-07
BM25,8,9,0.4864864864864865,3.269099675270684e-07
Baseline,8,9,0.5128205128205128,6.906563164693726e-07
Tf,8,9,0.4473684210526316,1.9382357452053607e-07
Dl,8,9,0.18421052631578946,1.9042101578232766e-09
Null,8,9,0.13333333333333333,1.047235647994453e-09
XSqrA_M,8,10,0.55,1.5672479061516015e-06
BM25,8,10,0.5526315789473685,1.160692081560213e-06
Baseline,8,10,0.39473684210526316,7.800581131348412e-08
Tf,8,10,0.42105263157894735,1.2309675748818656e-07
Dl,8,10,0.16666666666666666,1.573001122027473e-09
Null,8,10,0.03333333333333333,2.853012831142622e-10
XSqrA_M,9,1,0.631578947368421,4.290594042032317e-06
BM25,9,1,0.5,3.4379942026966634e-07
Baseline,9,1,0.4722222222222222,2.2250628451956976e-07
Tf,9,1,0.4722222222222222,2.2250628451956976e-07
Dl,9,1,0.20588235294117646,3.044152587409538e-09
Null,9,1,0.037037037037037035,3.211382964674497e-10
XSqrA_M,9,2,0.6578947368421053,6.576950195968178e-06
BM25,9,2,0.5675675675675675,1.2133321865858736e-06
Baseline,9,2,0.43243243243243246,1.3426642477289038e-07
Tf,9,2,0.43243243243243246,1.3426642477289038e-07
Dl,9,2,0.25,6.219708730861692e-09
Null,9,2,0.10344827586206896,7.089746808130333e-10
XSqrA_M,9,3,0.5526315789473685,1.160692081560213e-06
BM25,9,3,0.5135135135135135,5.0786862568921e-07
